,negative,neutral,positive,total
asap,8.0,0.0,0.0,8.0
ascrib,0.0,0.0,1.0,1.0
aseven,0.0,0.0,1.0,1.0
ash,0.0,0.0,2.0,2.0
asham,0.0,0.0,2.0,2.0
ashi,0.0,0.0,1.0,1.0
asian,42.0,0.0,0.0,42.0
asid,4.0,4.0,11.0,19.0
asio,0.0,0.0,1.0,1.0
asioal,0.0,0.0,1.0,1.0
ask,20.0,20.0,58.0,98.0
asmartin,0.0,4.0,0.0,4.0
aspect,0.0,0.0,1.0,1.0
asquier,0.0,0.0,1.0,1.0
assembl,8.0,16.0,21.0,45.0
assist,0.0,0.0,2.0,2.0
associ,0.0,4.0,3.0,7.0
assort,8.0,0.0,0.0,8.0
assum,8.0,8.0,13.0,29.0
assur,0.0,0.0,6.0,6.0
astat,0.0,0.0,1.0,1.0
asthet,0.0,0.0,1.0,1.0
astound,0.0,0.0,2.0,2.0
astut,0.0,0.0,1.0,1.0
aswel,0.0,4.0,0.0,4.0
asymmetr,0.0,0.0,1.0,1.0
ata,0.0,4.0,0.0,4.0
ateri,0.0,4.0,0.0,4.0
atlant,0.0,0.0,1.0,1.0
atop,0.0,0.0,1.0,1.0
attach,37.0,24.0,56.0,117.0
attack,0.0,0.0,6.0,6.0
attactch,0.0,0.0,1.0,1.0
attain,0.0,0.0,1.0,1.0
attempt,0.0,0.0,1.0,1.0
attend,0.0,4.0,1.0,5.0
attent,0.0,0.0,1.0,1.0
attenu,0.0,0.0,1.0,1.0
attest,0.0,4.0,4.0,8.0
attract,21.0,8.0,12.0,41.0
attribut,0.0,0.0,2.0,2.0
audibl,4.0,12.0,9.0,25.0
audio,0.0,4.0,82.0,86.0
auditori,0.0,0.0,1.0,1.0
augment,0.0,0.0,1.0,1.0
auphonix,0.0,4.0,0.0,4.0
aura,0.0,0.0,1.0,1.0
auralex,0.0,0.0,2.0,2.0
aussi,8.0,0.0,0.0,8.0
auster,0.0,0.0,1.0,1.0
austin,0.0,0.0,4.0,4.0
authen,0.0,0.0,1.0,1.0
authent,0.0,0.0,2.0,2.0
author,0.0,4.0,0.0,4.0
autom,8.0,0.0,0.0,8.0
automat,8.0,4.0,5.0,17.0
auvio,0.0,0.0,1.0,1.0
aux,0.0,4.0,1.0,5.0
avaial,0.0,0.0,1.0,1.0
avail,12.0,4.0,51.0,67.0
averag,86.0,16.0,12.0,114.0
averi,0.0,0.0,1.0,1.0
avid,0.0,0.0,1.0,1.0
avoid,29.0,4.0,20.0,53.0
avoind,0.0,0.0,1.0,1.0
aw,0.0,12.0,8.0,20.0
awar,20.0,24.0,18.0,62.0
award,0.0,0.0,3.0,3.0
away,32.0,56.0,78.0,166.0
awe,0.0,0.0,2.0,2.0
awesom,8.0,8.0,95.0,111.0
awg,0.0,0.0,1.0,1.0
awhil,0.0,4.0,2.0,6.0
awkward,0.0,16.0,16.0,32.0
awsom,0.0,0.0,4.0,4.0
ax,0.0,4.0,0.0,4.0
axe,0.0,0.0,2.0,2.0
axi,0.0,0.0,1.0,1.0
babe,0.0,0.0,1.0,1.0
back,288.0,136.0,229.0,653.0
backlit,0.0,4.0,0.0,4.0
backord,0.0,0.0,1.0,1.0
backup,4.0,0.0,3.0,7.0
backward,0.0,0.0,3.0,3.0
bad,112.0,108.0,137.0,357.0
bag,8.0,0.0,5.0,13.0
bail,0.0,0.0,1.0,1.0
balanc,0.0,4.0,32.0,36.0
ball,16.0,8.0,20.0,44.0
ballanc,0.0,0.0,1.0,1.0
ballpark,0.0,0.0,1.0,1.0
band,0.0,0.0,6.0,6.0
bang,0.0,0.0,5.0,5.0
banjo,0.0,8.0,4.0,12.0
bank,0.0,0.0,1.0,1.0
bar,4.0,0.0,4.0,8.0
barber,0.0,0.0,2.0,2.0
bare,37.0,16.0,17.0,70.0
bargain,0.0,0.0,3.0,3.0
bark,0.0,0.0,1.0,1.0
barley,0.0,0.0,1.0,1.0
barr,0.0,4.0,0.0,4.0
base,53.0,24.0,38.0,115.0
basement,0.0,0.0,1.0,1.0
basic,53.0,52.0,72.0,177.0
bass,0.0,12.0,14.0,26.0
bassbeen,0.0,0.0,1.0,1.0
bassi,0.0,4.0,1.0,5.0
bassier,0.0,0.0,1.0,1.0
bassist,0.0,0.0,1.0,1.0
batman,0.0,0.0,1.0,1.0
batter,0.0,0.0,5.0,5.0
batteri,0.0,4.0,11.0,15.0
battl,0.0,0.0,1.0,1.0
bb,0.0,0.0,1.0,1.0
bbe,0.0,0.0,1.0,1.0
bcd,0.0,0.0,1.0,1.0
be,502.0,740.0,1431.0,2673.0
bea,0.0,0.0,1.0,1.0
bean,0.0,4.0,0.0,4.0
bear,0.0,0.0,1.0,1.0
beast,0.0,0.0,1.0,1.0
beat,0.0,0.0,70.0,70.0
beaten,0.0,0.0,2.0,2.0
beati,0.0,0.0,1.0,1.0
beauti,0.0,4.0,50.0,54.0
bebass,4.0,0.0,0.0,4.0
becam,4.0,16.0,16.0,36.0
becaus,8.0,24.0,25.0,57.0
becom,4.0,28.0,50.0,82.0
becuas,0.0,0.0,1.0,1.0
bedazzl,0.0,0.0,1.0,1.0
beef,0.0,0.0,1.0,1.0
beefi,0.0,0.0,2.0,2.0
beefier,0.0,0.0,1.0,1.0
been,163.0,112.0,431.0,706.0
beet,0.0,0.0,1.0,1.0
befor,8.0,4.0,16.0,28.0
befront,0.0,0.0,1.0,1.0
beg,0.0,0.0,2.0,2.0
began,0.0,0.0,7.0,7.0
begin,8.0,20.0,29.0,57.0
beginn,0.0,4.0,9.0,13.0
begun,0.0,0.0,2.0,2.0
behav,0.0,0.0,1.0,1.0
behind,0.0,0.0,1.0,1.0
behring,8.0,4.0,31.0,43.0
beli,0.0,0.0,1.0,1.0
believ,141.0,16.0,64.0,221.0
beliv,0.0,0.0,1.0,1.0
belli,0.0,0.0,1.0,1.0
belong,4.0,4.0,3.0,11.0
belov,8.0,4.0,0.0,12.0
below,4.0,0.0,0.0,4.0
belt,0.0,4.0,6.0,10.0
bend,25.0,16.0,48.0,89.0
bendabl,0.0,4.0,3.0,7.0
bendi,0.0,0.0,1.0,1.0
bendnic,0.0,0.0,1.0,1.0
benefit,0.0,0.0,3.0,3.0
bent,21.0,12.0,5.0,38.0
berhing,0.0,0.0,1.0,1.0
bering,0.0,0.0,1.0,1.0
bermuda,0.0,0.0,2.0,2.0
best,20.0,92.0,318.0,430.0
bestest,0.0,0.0,1.0,1.0
bestsel,0.0,0.0,1.0,1.0
bet,0.0,0.0,5.0,5.0
better,220.0,320.0,513.0,1053.0
bewar,0.0,0.0,2.0,2.0
beyerdynam,0.0,0.0,1.0,1.0
bic,0.0,0.0,1.0,1.0
big,157.0,48.0,148.0,353.0
bigger,0.0,8.0,32.0,40.0
biggest,0.0,12.0,9.0,21.0
billi,0.0,0.0,1.0,1.0
bind,0.0,0.0,7.0,7.0
bird,0.0,0.0,1.0,1.0
birthday,0.0,0.0,1.0,1.0
bit,12.0,68.0,140.0,220.0
bite,0.0,4.0,4.0,8.0
bizarr,0.0,0.0,1.0,1.0
black,16.0,36.0,100.0,152.0
blame,4.0,8.0,5.0,17.0
blanket,4.0,0.0,0.0,4.0
blare,0.0,0.0,2.0,2.0
blast,0.0,4.0,7.0,11.0
ble,0.0,0.0,1.0,1.0
bleed,0.0,4.0,1.0,5.0
blemish,0.0,0.0,1.0,1.0
blend,0.0,4.0,4.0,8.0
blew,0.0,0.0,4.0,4.0
blind,0.0,0.0,5.0,5.0
blindfold,0.0,0.0,1.0,1.0
bling,0.0,0.0,1.0,1.0
blink,0.0,0.0,1.0,1.0
block,21.0,0.0,8.0,29.0
bloodi,0.0,0.0,1.0,1.0
blow,4.0,8.0,12.0,24.0
blown,4.0,0.0,10.0,14.0
blue,0.0,16.0,38.0,54.0
blueridg,0.0,0.0,2.0,2.0
bluesi,0.0,0.0,2.0,2.0
bluish,0.0,0.0,1.0,1.0
blunder,0.0,0.0,1.0,1.0
bni,0.0,0.0,1.0,1.0
boast,0.0,0.0,1.0,1.0
boat,0.0,0.0,2.0,2.0
bob,0.0,0.0,3.0,3.0
bodi,0.0,0.0,4.0,4.0
bogus,0.0,4.0,0.0,4.0
boil,0.0,0.0,2.0,2.0
bolt,0.0,4.0,1.0,5.0
bond,0.0,0.0,1.0,1.0
bone,0.0,0.0,2.0,2.0
bonous,0.0,0.0,1.0,1.0
bonus,0.0,0.0,1.0,1.0
boo,0.0,0.0,1.0,1.0
boogi,0.0,0.0,2.0,2.0
boom,0.0,0.0,4.0,4.0
boomey,0.0,0.0,1.0,1.0
boomher,0.0,0.0,1.0,1.0
boomi,0.0,4.0,1.0,5.0
boost,12.0,24.0,33.0,69.0
boot,0.0,0.0,3.0,3.0
bordeaux,0.0,0.0,1.0,1.0
borderlin,8.0,0.0,0.0,8.0
bore,0.0,8.0,8.0,16.0
born,0.0,0.0,2.0,2.0
borrow,0.0,4.0,2.0,6.0
bose,0.0,0.0,1.0,1.0
boss,4.0,0.0,7.0,11.0
boston,0.0,0.0,1.0,1.0
bot,0.0,0.0,1.0,1.0
bother,8.0,4.0,21.0,33.0
bothersom,0.0,0.0,2.0,2.0
bottl,0.0,0.0,3.0,3.0
bottom,70.0,28.0,53.0,151.0
bought,350.0,196.0,445.0,991.0
bounc,0.0,0.0,1.0,1.0
boutiqu,8.0,0.0,3.0,11.0
bow,8.0,0.0,1.0,9.0
box,0.0,0.0,4.0,4.0
boxi,0.0,4.0,4.0,8.0
boy,0.0,0.0,2.0,2.0
br,0.0,0.0,1.0,1.0
brace,4.0,0.0,2.0,6.0
bradi,0.0,0.0,1.0,1.0
brag,0.0,0.0,1.0,1.0
braid,0.0,0.0,1.0,1.0
brainier,0.0,0.0,1.0,1.0
branch,0.0,4.0,0.0,4.0
brand,0.0,0.0,5.0,5.0
brass,0.0,0.0,1.0,1.0
brassi,0.0,0.0,1.0,1.0
break,16.0,84.0,116.0,216.0
breakabl,0.0,0.0,1.0,1.0
breakag,0.0,4.0,0.0,4.0
breath,0.0,4.0,2.0,6.0
breather,0.0,0.0,1.0,1.0
breathless,0.0,0.0,1.0,1.0
breez,0.0,0.0,6.0,6.0
brew,0.0,0.0,1.0,1.0
brick,0.0,0.0,1.0,1.0
bridg,0.0,0.0,2.0,2.0
brief,0.0,0.0,3.0,3.0
bright,8.0,40.0,93.0,141.0
brighten,0.0,4.0,8.0,12.0
brighter,4.0,4.0,14.0,22.0
brightest,0.0,0.0,3.0,3.0
brigthen,0.0,0.0,1.0,1.0
brilliant,0.0,0.0,5.0,5.0
bring,0.0,4.0,34.0,38.0
british,0.0,0.0,4.0,4.0
brittish,0.0,0.0,1.0,1.0
brittl,0.0,4.0,3.0,7.0
broad,0.0,4.0,2.0,6.0
broadcast,8.0,0.0,3.0,11.0
broader,0.0,0.0,1.0,1.0
broke,180.0,8.0,37.0,225.0
broken,20.0,12.0,25.0,57.0
bronz,0.0,4.0,6.0,10.0
brought,4.0,0.0,11.0,15.0
brown,0.0,0.0,4.0,4.0
brush,0.0,0.0,5.0,5.0
brutal,0.0,0.0,3.0,3.0
bt,0.0,0.0,2.0,2.0
btr,0.0,0.0,1.0,1.0
btw,0.0,0.0,1.0,1.0
bubbl,0.0,0.0,2.0,2.0
buck,0.0,4.0,6.0,10.0
buckl,0.0,0.0,1.0,1.0
bud,0.0,0.0,1.0,1.0
buddi,0.0,0.0,1.0,1.0
budg,0.0,4.0,0.0,4.0
buf,0.0,0.0,3.0,3.0
buff,0.0,0.0,5.0,5.0
buffer,0.0,0.0,1.0,1.0
buggi,0.0,0.0,1.0,1.0
build,24.0,12.0,55.0,91.0
built,16.0,36.0,133.0,185.0
bulk,0.0,0.0,1.0,1.0
bulki,21.0,4.0,8.0,33.0
bulkier,0.0,0.0,1.0,1.0
bulletproof,0.0,0.0,2.0,2.0
bum,0.0,4.0,2.0,6.0
bumbl,0.0,0.0,1.0,1.0
bummer,0.0,0.0,1.0,1.0
bump,0.0,4.0,17.0,21.0
bunch,0.0,4.0,1.0,5.0
bundl,0.0,0.0,1.0,1.0
burgandi,0.0,0.0,1.0,1.0
burgundi,0.0,0.0,1.0,1.0
burgundyi,0.0,0.0,1.0,1.0
buri,0.0,0.0,2.0,2.0
burn,0.0,0.0,1.0,1.0
burnt,0.0,0.0,1.0,1.0
burst,0.0,0.0,1.0,1.0
busi,0.0,0.0,1.0,1.0
busk,0.0,0.0,1.0,1.0
buss,0.0,0.0,1.0,1.0
bust,0.0,0.0,1.0,1.0
butat,0.0,0.0,1.0,1.0
butt,0.0,0.0,4.0,4.0
butter,0.0,4.0,0.0,4.0
butteri,0.0,0.0,2.0,2.0
button,0.0,16.0,1.0,17.0
buy,286.0,164.0,450.0,900.0
buyal,4.0,0.0,0.0,4.0
buzz,29.0,16.0,16.0,61.0
buzzi,0.0,0.0,1.0,1.0
bvybnhgdefinit,0.0,0.0,1.0,1.0
bwoosh,0.0,0.0,2.0,2.0
by,0.0,0.0,1.0,1.0
bypass,4.0,0.0,2.0,6.0
cabl,0.0,4.0,16.0,20.0
cage,0.0,0.0,1.0,1.0
cagi,0.0,0.0,1.0,1.0
caig,0.0,0.0,1.0,1.0
cake,0.0,0.0,1.0,1.0
calcul,0.0,0.0,1.0,1.0
calibr,4.0,0.0,0.0,4.0
california,0.0,0.0,3.0,3.0
call,28.0,24.0,33.0,85.0
came,79.0,16.0,134.0,229.0
camp,0.0,0.0,4.0,4.0
canada,0.0,0.0,1.0,1.0
canadian,0.0,0.0,2.0,2.0
cancel,0.0,0.0,5.0,5.0
candi,0.0,4.0,0.0,4.0
candl,0.0,0.0,1.0,1.0
canning,0.0,0.0,1.0,1.0
cannnot,0.0,0.0,1.0,1.0
cannon,0.0,0.0,1.0,1.0
cant,0.0,8.0,23.0,31.0
canvassi,0.0,0.0,1.0,1.0
cap,4.0,4.0,0.0,8.0
capabl,0.0,8.0,9.0,17.0
capacit,0.0,0.0,1.0,1.0
capo,37.0,4.0,26.0,67.0
captur,0.0,0.0,8.0,8.0
car,0.0,0.0,1.0,1.0
card,0.0,0.0,2.0,2.0
cardboard,0.0,0.0,3.0,3.0
cardioid,0.0,0.0,3.0,3.0
cardiord,0.0,0.0,1.0,1.0
care,32.0,64.0,83.0,179.0
carefulus,0.0,0.0,1.0,1.0
careless,0.0,4.0,3.0,7.0
carpal,0.0,4.0,1.0,5.0
carpet,0.0,4.0,4.0,8.0
carpetmi,0.0,0.0,1.0,1.0
carri,20.0,20.0,55.0,95.0
carv,0.0,0.0,2.0,2.0
carvin,0.0,0.0,1.0,1.0
case,0.0,0.0,4.0,4.0
casewhat,0.0,0.0,1.0,1.0
casio,0.0,0.0,3.0,3.0
cast,0.0,4.0,1.0,5.0
casual,0.0,4.0,10.0,14.0
cat,0.0,0.0,2.0,2.0
catch,0.0,4.0,6.0,10.0
cater,0.0,0.0,1.0,1.0
cathedr,0.0,0.0,1.0,1.0
caught,0.0,0.0,6.0,6.0
caus,40.0,28.0,47.0,115.0
caution,0.0,0.0,1.0,1.0
cautious,0.0,0.0,1.0,1.0
cave,0.0,0.0,1.0,1.0
ce,0.0,0.0,2.0,2.0
ceas,0.0,0.0,1.0,1.0
celestian,0.0,0.0,1.0,1.0
celluloid,0.0,4.0,0.0,4.0
cellulos,0.0,0.0,1.0,1.0
celtic,0.0,0.0,1.0,1.0
center,0.0,0.0,4.0,4.0
central,0.0,0.0,2.0,2.0
ceram,0.0,0.0,3.0,3.0
certain,24.0,40.0,70.0,134.0
cg,0.0,4.0,0.0,4.0
ch,0.0,0.0,1.0,1.0
chain,0.0,4.0,2.0,6.0
chair,0.0,0.0,1.0,1.0
chalk,0.0,0.0,1.0,1.0
challeng,0.0,0.0,4.0,4.0
champ,0.0,0.0,1.0,1.0
chan,0.0,0.0,1.0,1.0
chang,106.0,108.0,212.0,426.0
changeabl,4.0,0.0,0.0,4.0
channel,0.0,0.0,2.0,2.0
characterist,0.0,4.0,5.0,9.0
charg,0.0,0.0,8.0,8.0
chart,0.0,0.0,2.0,2.0
chase,0.0,0.0,2.0,2.0
chat,0.0,4.0,0.0,4.0
cheap,145.0,136.0,238.0,519.0
cheapen,0.0,0.0,1.0,1.0
cheaper,36.0,32.0,58.0,126.0
cheaperpyl,0.0,0.0,1.0,1.0
cheapest,0.0,0.0,3.0,3.0
cheaphandi,0.0,0.0,1.0,1.0
cheapi,0.0,0.0,1.0,1.0
cheapli,8.0,0.0,3.0,11.0
cheapo,0.0,0.0,1.0,1.0
cheat,4.0,0.0,1.0,5.0
check,24.0,20.0,69.0,113.0
cheeep,0.0,4.0,0.0,4.0
cheep,0.0,0.0,2.0,2.0
cheeper,0.0,0.0,1.0,1.0
cheesey,4.0,0.0,0.0,4.0
cheesi,0.0,0.0,2.0,2.0
chemic,0.0,0.0,1.0,1.0
cherish,0.0,0.0,2.0,2.0
cherri,0.0,0.0,2.0,2.0
chest,0.0,0.0,2.0,2.0
chew,4.0,0.0,2.0,6.0
chezch,0.0,0.0,1.0,1.0
chicken,0.0,0.0,1.0,1.0
chief,0.0,0.0,1.0,1.0
chill,0.0,0.0,1.0,1.0
china,12.0,0.0,3.0,15.0
chines,12.0,20.0,7.0,39.0
ching,0.0,0.0,1.0,1.0
chip,0.0,0.0,2.0,2.0
choke,0.0,0.0,1.0,1.0
choos,4.0,4.0,21.0,29.0
choral,0.0,0.0,1.0,1.0
chord,0.0,0.0,2.0,2.0
chormat,0.0,0.0,1.0,1.0
chortl,0.0,0.0,1.0,1.0
chorus,0.0,4.0,3.0,7.0
chose,0.0,4.0,19.0,23.0
chosen,0.0,0.0,4.0,4.0
christian,0.0,0.0,2.0,2.0
chromat,0.0,0.0,7.0,7.0
chrome,0.0,0.0,7.0,7.0
chuck,0.0,0.0,1.0,1.0
chuckl,0.0,0.0,1.0,1.0
chunki,0.0,0.0,2.0,2.0
circuit,0.0,4.0,0.0,4.0
circular,0.0,0.0,1.0,1.0
cite,0.0,0.0,1.0,1.0
citrus,0.0,0.0,1.0,1.0
claim,0.0,12.0,8.0,20.0
clamp,4.0,12.0,17.0,33.0
clampsrubber,0.0,0.0,1.0,1.0
clangi,8.0,0.0,0.0,8.0
clash,0.0,0.0,2.0,2.0
clasp,0.0,4.0,0.0,4.0
classi,0.0,0.0,1.0,1.0
classic,29.0,40.0,79.0,148.0
classiest,0.0,0.0,1.0,1.0
clean,30.0,72.0,228.0,330.0
cleaner,0.0,8.0,16.0,24.0
cleanest,0.0,4.0,1.0,5.0
cleanish,0.0,0.0,1.0,1.0
clear,25.0,20.0,99.0,144.0
clearaudio,0.0,0.0,1.0,1.0
clearer,0.0,0.0,6.0,6.0
clearest,0.0,0.0,1.0,1.0
clever,0.0,0.0,1.0,1.0
click,0.0,12.0,11.0,23.0
clicki,0.0,4.0,2.0,6.0
cling,0.0,4.0,0.0,4.0
clip,8.0,12.0,23.0,43.0
clipper,21.0,0.0,1.0,22.0
close,138.0,44.0,96.0,278.0
