,negative,positive
aberr,1.4306765580733931,10.318851158516171
aberystwyth,0.0,2.5
abet,1.530895350152348,9.162168319362612
abhay,0.0,27.5
abhi,0.0,2.5
abhishek,2.5,0.0
abhor,2.8394367936337863,3.9173823267621817
abhorr,12.62925313651334,1.285097208938469
abid,2.717562737549928,4.1145820804822515
abigail,3.0212099296053805,3.662986595046085
abigil,0.0,2.5
abil,2.5,0.0
abilen,7.5,0.0
abingdon,0.0,5.0
abit,8.003922779651097,1.6609640474436815
abject,9.162168319362612,1.530895350152348
abkani,2.5,0.0
abl,2.7937001181187577,3.98860176241551
ablaz,3.321928094887363,3.321928094887363
abler,0.0,2.5
abli,1.6813483331764159,7.84933452577161
abneg,0.0,2.5
abnorm,3.7691125563864567,2.941625832534105
abo,2.095903274289385,5.678873587267573
aboard,5.678873587267573,2.095903274289385
abolish,1.530895350152348,9.162168319362612
abolitiong,2.5,0.0
abolitionist,0.0,5.0
abomin,7.230516925979993,1.7721967586109773
aborigin,2.260606576082615,5.139415253709544
abort,4.376763563241703,2.576123340966972
abortionist,3.321928094887363,3.321928094887363
abou,17.243773525740824,1.1073093649624544
abound,4.943744098763113,2.3306773984479063
about,3.7171804870113476,2.979852315742257
abov,2.8046767821586527,3.9712170478272815
abovement,0.0,2.5
abr,2.51294159473206,4.507575551943847
abracadabrantesqu,2.5,0.0
abraham,1.8687634631850907,6.677246972230794
abrahimi,0.0,2.5
abram,2.095903274289385,5.678873587267573
abras,4.61448067488429,2.464478569706518
abreast,0.0,2.5
abridg,2.2109333391015227,5.289431441108701
abril,0.0,7.5
abroad,2.8083769008010684,3.96539906776842
abrog,2.5,0.0
abromowitz,2.5,0.0
abrupt,3.977141291781036,2.8009228702515534
abscess,2.5,0.0
abscond,2.3475901497877913,4.899079389427794
abseil,2.5,0.0
absenc,0.0,2.5
absent,5.330901141781154,2.1977686737194806
absentmind,3.321928094887363,3.321928094887363
abso,2.5,0.0
absol,0.0,2.5
absolom,0.0,2.5
absolout,0.0,2.5
absolu,7.5,0.0
absolut,4.0021887707366774,2.785203470170256
absolutelli,0.0,2.5
absolutey,2.5,0.0
absolutl,0.0,2.5
absolutley,10.0,0.0
absolv,5.094382474196232,2.2761793375349226
absorb,2.0404572398529077,5.890978684575892
absorpt,0.0,2.5
absoul,0.0,2.5
absoulutley,2.5,0.0
absout,0.0,2.5
absoutley,0.0,2.5
abstain,1.6609640474436815,8.003922779651097
abstin,2.5,0.0
abstract,2.051953745602362,5.8455446577859105
abstrus,2.5,0.0
absurd,6.692347241634804,1.8658980866303
absurdest,0.0,2.5
absurdist,1.5088467494420437,9.393611305432481
abt,2.5,0.0
abu,1.7247814630066518,7.540024413314111
abud,2.5,0.0
abuelita,2.5,0.0
abund,4.400560461481861,2.5642927228407246
abus,3.0010682689456636,3.689127928018137
abusin,2.5,0.0
abut,2.095903274289385,5.678873587267573
abuzz,0.0,5.0
abvious,2.5,0.0
abwehr,0.0,2.5
abydo,0.0,5.0
abysm,20.597156576050306,1.0249675387716424
abyss,3.321928094887363,3.321928094887363
abyssm,5.0,0.0
abysym,2.5,0.0
ac,4.507575551943847,2.51294159473206
acacia,10.0,0.0
acadami,5.678873587267573,2.095903274289385
academ,4.899079389427794,2.3475901497877913
academi,2.0718786787441927,5.768635434195454
academian,0.0,2.5
acapulco,0.0,5.0
acc,3.321928094887363,3.321928094887363
acced,2.51294159473206,4.507575551943847
acceler,3.8326985321067166,2.8965889517876375
accelerati,0.0,2.5
accent,4.507575551943847,2.51294159473206
accentu,1.7645023553527024,7.278891511183838
acceot,2.5,0.0
accept,2.8131535940433117,3.957919494152447
acceptabl,2.5,0.0
acces,2.5,0.0
access,1.325082215047087,11.899980826510042
accessabilti,2.5,0.0
accessor,2.5,0.0
accessori,0.0,10.0
accid,2.437986966796919,4.675522918696934
accident,3.362870076101809,3.281635096954463
accidenti,2.095903274289385,5.678873587267573
acclai,0.0,2.5
acclaim,2.4863815547361416,4.565422619027282
acclim,0.0,2.5
accolad,14.937236057436325,1.1832946624549385
accommod,2.8965889517876375,3.8326985321067166
accomod,0.0,2.5
accompagni,2.5,0.0
accompani,2.6697009394902174,4.198941902601968
accompanist,0.0,2.5
accomplic,3.321928094887363,3.321928094887363
accomplish,2.4334611285100682,4.686144046731601
accord,3.8650904501664614,2.8743584564727658
accordian,0.0,7.5
accordin,2.5,0.0
accordionist,0.0,2.5
accost,2.4097933153777453,4.742632390555292
account,4.0731095829115755,2.7419866599265115
accowmplish,2.5,0.0
accredit,0.0,2.5
accru,2.51294159473206,4.507575551943847
accumul,2.095903274289385,5.678873587267573
accur,2.4609444592944767,4.622514427850573
accuraci,3.321928094887363,3.321928094887363
accurs,5.0,0.0
accus,2.686050183182096,4.169651947375024
accusatori,3.321928094887363,3.321928094887363
accuss,0.0,2.5
accustom,1.9395650667210353,6.326384972930649
accut,2.5,0.0
ace,2.2109333391015227,5.289431441108701
acerb,2.51294159473206,4.507575551943847
acetylen,2.5,0.0
ach,2.369254534243641,4.8432274388165455
achad,2.5,0.0
acharya,5.0,0.0
acheaolog,0.0,2.5
acheiv,0.0,2.5
achero,2.5,0.0
achiev,2.495315133136971,4.545768163368314
achil,2.5,0.0
achill,2.095903274289385,5.678873587267573
achillea,0.0,2.5
achiv,2.5,0.0
achm,0.0,2.5
acholo,2.5,0.0
achoo,0.0,2.5
achronolog,0.0,2.5
acid,2.8394367936337863,3.9173823267621817
acidi,0.0,2.5
acidifi,0.0,2.5
ack,3.321928094887363,3.321928094887363
ackerman,2.5,0.0
ackland,0.0,5.0
acknowledg,2.6371963653715627,4.258694811883079
ackroyd,1.6609640474436815,8.003922779651097
ackward,0.0,2.5
aclear,0.0,2.5
acm,0.0,17.5
acmi,2.5,0.0
acn,3.321928094887363,3.321928094887363
acolyt,3.321928094887363,3.321928094887363
acord,2.5,0.0
acorn,5.0,0.0
acosta,0.0,2.5
acoupl,2.5,0.0
acoust,2.2109333391015227,5.289431441108701
acp,0.0,2.5
acquaint,2.3319994094482235,4.940218471165503
acquart,0.0,2.5
acquiesc,0.0,7.5
acquir,2.9633206573598607,3.7394165907546975
acquisit,0.0,2.5
acquit,3.4216568893115022,3.2259642291848722
acquitt,8.003922779651097,1.6609640474436815
acr,3.321928094887363,3.321928094887363
acrid,0.0,7.5
acrimoni,0.0,5.0
acrobat,3.12173046672301,3.5392393166248803
acrobatti,0.0,15.0
acronym,3.321928094887363,3.321928094887363
across,2.8046767821586527,3.9712170478272815
acryl,2.5,0.0
act,4.756710550899389,2.4039981508827437
actal,2.5,0.0
action,3.321928094887363,3.321928094887363
actionless,5.0,0.0
actionpack,3.321928094887363,3.321928094887363
actionscen,2.5,0.0
actium,2.5,0.0
activ,2.9919677435863363,3.7010951892244384
activist,1.530895350152348,9.162168319362612
actor,2.7938045383961523,3.9884354937533213
actress,3.321928094887363,3.321928094887363
actriss,2.5,0.0
actua,5.678873587267573,2.095903274289385
actual,4.40488384385447,2.562159893298991
actuali,2.095903274289385,5.678873587267573
actuari,0.0,2.5
actuelli,0.0,2.5
actulli,0.0,2.5
actullli,2.5,0.0
actur,2.5,0.0
acual,10.318851158516171,1.4306765580733931
acuhu,0.0,2.5
acuna,0.0,2.5
acupat,2.5,0.0
acur,3.321928094887363,3.321928094887363
acut,2.51294159473206,4.507575551943847
ad,3.065128050340699,3.607582487044793
ada,2.295006730925411,5.041144465898791
adabt,2.5,0.0
adagio,0.0,2.5
adah,2.5,0.0
adair,0.0,2.5
adajani,2.5,0.0
adalbert,0.0,2.5
adam,3.2019364689443974,3.447864361092018
adama,4.899079389427794,2.3475901497877913
adamantium,2.5,0.0
adamason,0.0,2.5
adamo,2.5,0.0
adamson,3.719611071037446,2.978033117136071
adapt,2.481269306168394,4.576761516283344
aday,0.0,12.5
add,3.1082517742769404,3.555212587691583
addam,3.321928094887363,3.321928094887363
addario,5.0,0.0
addi,4.899079389427794,2.3475901497877913
addict,2.315034014445668,4.985914083744316
addicus,0.0,2.5
addio,2.5,0.0
addison,5.678873587267573,2.095903274289385
addit,2.791105022647626,3.992739461608795
additiona,2.5,0.0
additon,2.5,0.0
addl,6.4556962358128835,1.9124892893931982
address,2.5889682743996594,4.351275337474952
addtion,0.0,2.5
ade,3.321928094887363,3.321928094887363
adebisi,0.0,5.0
adel,0.7891590205064599,41.43586936339502
adela,3.321928094887363,3.321928094887363
adelaid,1.0227839387232256,20.701928028661634
adelight,0.0,2.5
adelin,0.0,5.0
adell,0.0,5.0
adelphia,0.0,2.5
ademir,0.0,2.5
aden,3.321928094887363,3.321928094887363
adenin,2.5,0.0
adenoid,1.6609640474436815,8.003922779651097
adentro,0.0,7.5
adeosun,2.5,0.0
adept,1.9535700439406751,6.261707715779571
adequ,3.922719162243575,2.8359379021627364
adequt,0.0,2.5
adetokumboh,0.0,2.5
adher,2.2363458328106818,5.211440485380426
adhes,3.321928094887363,3.321928094887363
adi,5.678873587267573,2.095903274289385
adibah,0.0,2.5
adibisi,2.5,0.0
adien,0.0,2.5
aditiya,0.0,2.5
aditya,3.0212099296053805,3.662986595046085
adj,2.5,0.0
adjac,3.054750901711627,3.6204807592266683
adjani,0.0,17.5
adject,3.0815587699515854,3.5873976034096917
adjl,2.5,0.0
adjoin,3.321928094887363,3.321928094887363
adjourn,0.0,2.5
adjunct,2.5,0.0
adjust,1.5519538589449478,8.9517123343168
adjustin,2.5,0.0
adjut,0.0,2.5
adkin,0.0,10.0
adl,2.5,0.0
adlai,0.0,2.5
adler,0.0,5.0
adm,0.0,2.5
adma,2.5,0.0
admar,0.0,2.5
admin,2.5,0.0
administ,5.289431441108701,2.2109333391015227
administr,4.507575551943847,2.51294159473206
adminsitr,0.0,2.5
admir,2.6181306897329977,4.294718458971107
admiss,5.678873587267573,2.095903274289385
admit,3.308668642355169,3.3352570752736614
admitt,0.0,5.0
admittad,2.5,0.0
admonish,1.7721967586109773,7.230516925979993
ado,0.0,2.5
adolesc,2.423283300503964,4.710239452772371
adolf,2.2761793375349226,5.094382474196232
adolfo,0.0,2.5
adolph,2.717562737549928,4.1145820804822515
adon,3.321928094887363,3.321928094887363
adoni,7.5,0.0
adonijah,12.5,0.0
adoor,0.0,2.5
adopt,2.569069925045585,4.390913780200049
ador,2.02823469695851,5.940158565001322
adorbl,0.0,2.5
adore,0.0,7.5
adorf,0.0,2.5
adorn,2.576123340966972,4.376763563241703
adotp,0.0,2.5
adp,0.0,2.5
adr,10.318851158516171,1.4306765580733931
adrenalin,2.8836103946155047,3.851526570091436
adreno,2.5,0.0
adress,0.0,5.0
adri,2.5,0.0
adrian,2.4982435818261237,4.539369282660992
adriana,1.6609640474436815,8.003922779651097
adriann,5.678873587267573,2.095903274289385
adriano,5.0,0.0
adriat,1.6609640474436815,8.003922779651097
adrien,4.507575551943847,2.51294159473206
adrienn,4.899079389427794,2.3475901497877913
adriensen,2.5,0.0
adrift,4.507575551943847,2.51294159473206
adroit,1.6609640474436815,8.003922779651097
adu,0.0,2.5
aduh,2.5,0.0
adul,0.0,2.5
adult,2.24222362532447,5.193776959007701
adulter,3.321928094887363,3.321928094887363
adulteress,1.6609640474436815,8.003922779651097
adulteri,4.507575551943847,2.51294159473206
adulthood,2.717562737549928,4.1145820804822515
adv,14.937236057436325,1.1832946624549385
advanc,2.955133098118983,3.7505542946944836
advani,5.0,0.0
advantag,3.719611071037446,2.978033117136071
advent,3.321928094887363,3.321928094887363
adventist,1.6609640474436815,8.003922779651097
adventiti,2.5,0.0
adventur,2.095903274289385,5.678873587267573
adventuresom,5.678873587267573,2.095903274289385
advers,2.2537877759719245,5.159425579258086
adversari,1.9124892893931982,6.4556962358128835
advert,4.507575551943847,2.51294159473206
adverter,0.0,2.5
advertis,4.084277428343408,2.7353496764108187
advic,2.3475901497877913,4.899079389427794
advis,4.507575551943847,2.51294159473206
advisor,2.5,0.0
advisori,12.5,0.0
advoc,3.9173823267621817,2.8394367936337863
ae,0.0,20.0
aegean,0.0,2.5
aegert,2.5,0.0
aelita,2.5,0.0
aenea,0.0,2.5
aeon,10.318851158516171,1.4306765580733931
aeri,0.0,2.5
aerial,2.095903274289385,5.678873587267573
aerith,2.5,0.0
aerki,2.5,0.0
aerob,7.5,0.0
aerobic,2.5,0.0
aerobicid,2.5,0.0
aeronaut,1.6609640474436815,8.003922779651097
aeroplan,0.0,2.5
aerosmith,3.321928094887363,3.321928094887363
aerosol,5.0,0.0
aerun,0.0,2.5
aeryn,0.0,10.0
aeschylus,0.0,2.5
aesir,5.0,0.0
aesop,3.321928094887363,3.321928094887363
aestheic,0.0,2.5
aesthet,2.725929982583571,4.100257705041201
aetheist,2.5,0.0
aetheri,2.5,0.0
af,0.0,5.0
afaik,2.5,0.0
afar,4.507575551943847,2.51294159473206
afb,0.0,2.5
afer,2.5,0.0
afest,2.5,0.0
afew,1.6609640474436815,8.003922779651097
aff,0.0,2.5
affabl,2.39500556230144,4.778752771170251
affair,3.5873976034096917,3.0815587699515854
affect,1.9675523311704488,6.198574462101107
affection,2.1343756692592386,5.541515066300341
affili,2.978033117136071,3.719611071037446
affin,0.0,2.5
affirm,2.6410669562453966,4.251470913316448
affix,0.0,7.5
affleck,5.678873587267573,2.095903274289385
afflect,0.0,2.5
afflict,3.798794064681797,2.9203673004336506
affluent,1.6998947737393464,7.714034102218407
afford,3.7161659525102966,2.980612545411388
affront,2.095903274289385,5.678873587267573
afgahnistan,2.5,0.0
afgan,0.0,2.5
afgani,2.5,0.0
afganistan,3.321928094887363,3.321928094887363
afganskiy,0.0,5.0
afghan,1.285097208938469,12.62925313651334
afghani,2.095903274289385,5.678873587267573
afghanistan,3.044434334926917,3.633420802575157
afi,1.9535700439406751,6.261707715779571
afican,5.0,0.0
aficionado,1.1832946624549385,14.937236057436325
afield,5.0,0.0
afilm,2.5,0.0
afirm,0.0,2.5
aflac,2.5,0.0
aflam,0.0,5.0
afloat,3.662986595046085,3.0212099296053805
afoot,2.8394367936337863,3.9173823267621817
afor,2.5,0.0
aforement,5.01484694161038,2.3044784716798166
aforment,2.095903274289385,5.678873587267573
afortun,0.0,2.5
afoul,8.003922779651097,1.6609640474436815
afr,0.0,2.5
afraid,3.5785719368975677,3.0888173785921644
afreen,2.5,0.0
africa,2.707205823366394,4.1324839123105335
african,2.9203673004336506,3.798794064681797
afrika,5.0,0.0
afrikaan,3.321928094887363,3.321928094887363
afro,3.471438514848139,3.1807227112001972
afroregga,1.9124892893931982,6.4556962358128835
aft,0.0,7.5
aftab,8.003922779651097,1.6609640474436815
afteral,4.899079389427794,2.3475901497877913
afterglow,0.0,2.5
afterlif,5.0,0.0
aftermath,5.0,0.0
afterno,2.5,0.0
afterschool,5.678873587267573,2.095903274289385
aftershock,2.5,0.0
afterthought,4.507575551943847,2.51294159473206
afterward,2.856494897809058,3.891620410274232
afterword,2.095903274289385,5.678873587267573
afther,0.0,2.5
aftra,0.0,7.5
afzel,5.0,0.0
ag,1.6609640474436815,8.003922779651097
aga,8.003922779651097,1.6609640474436815
agaaaain,0.0,2.5
agai,2.51294159473206,4.507575551943847
again,2.971518646513952,3.728347928636178
agamemnon,0.0,5.0
agap,0.0,2.5
agar,2.5,0.0
agatha,2.095903274289385,5.678873587267573
age,2.799975849087877,3.9786392987155237
ageless,3.9173823267621817,2.8394367936337863
agenda,6.8433137786230045,1.8380053935977752
agent,3.0212099296053805,3.662986595046085
ager,2.5,0.0
agey,3.321928094887363,3.321928094887363
aggamemnon,0.0,2.5
aggi,0.0,5.0
aggrandiz,3.321928094887363,3.321928094887363
aggrapina,2.5,0.0
aggrav,5.063562808822357,2.2870225008396208
aggre,2.5,0.0
aggreg,0.0,5.0
aggres,0.0,2.5
aggress,2.968814154620113,3.7319902984282702
aggressor,0.0,2.5
aggriev,10.318851158516171,1.4306765580733931
aggriv,2.5,0.0
agh,2.5,0.0
aghast,3.0212099296053805,3.662986595046085
aghhhhhh,2.5,0.0
agi,0.0,7.5
agian,2.5,0.0
agil,2.8394367936337863,3.9173823267621817
agin,2.095903274289385,5.678873587267573
agit,4.212993519393615,2.6619559702796276
agito,2.5,0.0
agless,0.0,2.5
agn,3.321928094887363,3.321928094887363
agnew,2.5,0.0
agnieszka,0.0,2.5
agniezska,0.0,2.5
agnost,5.678873587267573,2.095903274289385
ago,2.581741318777102,4.36557152324705
agog,2.5,0.0
agon,8.613759337742495,1.5879785755231208
agoni,4.507575551943847,2.51294159473206
agonis,3.0212099296053805,3.662986595046085
agoraphob,0.0,5.0
agost,3.321928094887363,3.321928094887363
agostina,0.0,2.5
agr,0.0,2.5
agra,0.0,2.5
agrarian,3.321928094887363,3.321928094887363
agre,3.4493526252825646,3.200586140728607
agreat,0.0,2.5
agreeabl,1.8380053935977752,6.8433137786230045
agren,10.0,0.0
agricultur,5.678873587267573,2.095903274289385
agrippina,7.5,0.0
aground,7.5,0.0
agua,2.5,0.0
aguayo,0.0,2.5
aguilar,5.0,0.0
aguirr,2.095903274289385,5.678873587267573
aguirresarob,0.0,2.5
agust,0.0,5.0
agutt,0.0,2.5
ah,4.718546169578107,2.4198030871932104
aha,20.0,0.0
ahab,9.162168319362612,1.530895350152348
aharon,2.5,0.0
ahead,2.951901446974668,3.754973445271114
ahearn,0.0,7.5
ahem,6.8433137786230045,1.8380053935977752
ahet,2.5,0.0
ahh,3.321928094887363,3.321928094887363
ahhh,3.321928094887363,3.321928094887363
ahhhhhh,3.321928094887363,3.321928094887363
ahhhhhhh,2.5,0.0
ahista,0.0,5.0
ahistor,2.5,0.0
ahlstedt,0.0,2.5
ahm,1.6609640474436815,8.003922779651097
ahmad,0.0,57.5
ahmedabad,0.0,2.5
ahmet,0.0,2.5
ahna,5.678873587267573,2.095903274289385
ahold,2.5,0.0
ahould,0.0,2.5
ahoy,10.0,0.0
aht,2.5,0.0
ahuntin,2.5,0.0
ai,2.51294159473206,4.507575551943847
aicha,0.0,5.0
aicn,2.5,0.0
aid,1.921907041570667,6.4100633971847465
aida,5.678873587267573,2.095903274289385
aidan,1.530895350152348,9.162168319362612
aiden,5.938086056808406,2.028745201894865
aiello,1.1832946624549385,14.937236057436325
aielo,0.0,2.5
aihara,0.0,2.5
aik,0.0,2.5
aikawa,0.0,2.5
aiken,2.51294159473206,4.507575551943847
aikido,5.678873587267573,2.095903274289385
ail,2.2363458328106818,5.211440485380426
aileen,1.3506893502198491,11.474446170085354
aileron,2.5,0.0
ailleur,0.0,2.5
ailment,5.0,0.0
ailtan,2.5,0.0
ailton,0.0,2.5
aim,5.388779426024755,2.179783077671746
aimabl,2.5,0.0
aimanov,2.5,0.0
aime,2.978033117136071,3.719611071037446
aimless,12.051933943343613,1.316364786255445
ain,5.0,0.0
aina,0.0,5.0
ainsley,2.5,0.0
ainsworth,0.0,2.5
aint,10.318851158516171,1.4306765580733931
aip,4.507575551943847,2.51294159473206
air,2.4673556088938997,4.607965072818646
airbag,0.0,2.5
airbal,2.5,0.0
airborn,11.474446170085354,1.3506893502198491
airbrush,10.0,0.0
airbus,2.5,0.0
aircraft,5.0,0.0
airfield,2.5,0.0
airforc,5.0,0.0
airhead,3.321928094887363,3.321928094887363
airheaded,0.0,2.5
airi,1.4306765580733931,10.318851158516171
airial,2.5,0.0
airili,0.0,2.5
airless,2.5,0.0
airli,0.0,2.5
airlift,10.318851158516171,1.4306765580733931
airmail,2.5,0.0
airman,1.6609640474436815,8.003922779651097
airmen,2.5,0.0
airplan,7.230516925979993,1.7721967586109773
airport,19.549378059091087,1.0479516371446924
airship,0.0,2.5
airsick,2.5,0.0
airsoft,2.5,0.0
airspac,2.5,0.0
airtight,1.6609640474436815,8.003922779651097
airtim,8.003922779651097,1.6609640474436815
ais,2.5,0.0
aish,3.321928094887363,3.321928094887363
aisha,5.0,0.0
aishu,0.0,2.5
aishwari,0.0,2.5
aishwariya,0.0,2.5
aishwarya,2.3475901497877913,4.899079389427794
aisl,1.9124892893931982,6.4556962358128835
aissa,0.0,2.5
aitd,2.5,0.0
aito,0.0,7.5
aj,0.0,10.0
aja,10.0,0.0
ajar,0.0,2.5
ajax,10.0,0.0
ajay,42.58745019433658,0.7820114830995407
aji,2.5,0.0
ajikko,0.0,2.5
ajit,0.0,2.5
ajita,5.0,0.0
ajnab,0.0,2.5
ajnabi,0.0,2.5
ajooba,2.5,0.0
ak,19.549378059091087,1.0479516371446924
aka,3.983174740056994,2.79711398107686
akan,0.0,5.0
akasha,0.8502741537276027,33.37424640210159
akath,0.0,2.5
akayla,2.5,0.0
ake,1.6609640474436815,8.003922779651097
akeem,0.0,15.0
akelli,2.5,0.0
akenaten,0.0,5.0
akerman,2.5,0.0
akhenaten,0.0,2.5
akhnaton,0.0,10.0
akhra,2.5,0.0
aki,8.003922779651097,1.6609640474436815
akiko,0.0,5.0
akim,5.0,0.0
akin,2.6301168673979136,4.271985235273362
akira,1.1073093649624544,17.243773525740824
akiva,5.0,0.0
akiyama,0.0,2.5
akkaya,2.5,0.0
akki,3.321928094887363,3.321928094887363
akm,2.5,0.0
aknowledg,0.0,2.5
akosua,0.0,5.0
akrona,2.5,0.0
akroy,2.5,0.0
akroyd,10.0,0.0
akshay,3.671276619748304,3.014783151101512
aku,0.0,5.0
akuzi,0.0,2.5
akward,3.321928094887363,3.321928094887363
akyroyd,0.0,2.5
al,3.321928094887363,3.321928094887363
ala,4.87344537723605,2.357460958686988
alabama,4.507575551943847,2.51294159473206
alack,5.0,0.0
aladdin,5.678873587267573,2.095903274289385
alaimo,2.5,0.0
alain,1.6134529492945238,8.39021847487761
alamien,2.5,0.0
alamo,1.1832946624549385,14.937236057436325
alan,2.470699256523714,4.600420214327756
alana,0.0,2.5
alanni,2.5,0.0
alanrickmaniac,0.0,2.5
alanti,0.0,2.5
alar,7.5,0.0
alarik,2.5,0.0
alarm,3.0619984242418337,3.611460111265842
alarmist,7.5,0.0
alaska,3.5609161165707097,3.103476471903321
alaskan,2.8394367936337863,3.9173823267621817
alast,0.0,2.5
alastair,1.530895350152348,9.162168319362612
alb,0.0,2.5
alba,8.58328067894192,1.5913711273047662
albani,5.0,0.0
albania,0.0,2.5
albanian,4.1145820804822515,2.717562737549928
albano,2.5,0.0
albeit,1.8648272270144033,6.6980096694547075
albeniz,0.0,5.0
albert,2.000746513690803,6.054190652480954
alberta,3.321928094887363,3.321928094887363
albertan,2.5,0.0
alberto,2.095903274289385,5.678873587267573
albi,3.321928094887363,3.321928094887363
albiet,6.8433137786230045,1.8380053935977752
albin,2.5,0.0
albino,5.0,0.0
albinoni,0.0,2.5
albizo,2.5,0.0
albrght,0.0,2.5
albright,3.321928094887363,3.321928094887363
album,2.6619559702796276,4.212993519393615
albuquerqu,2.095903274289385,5.678873587267573
alc,0.0,2.5
alcantara,0.0,2.5
alcatraz,19.549378059091087,1.0479516371446924
alchem,0.0,7.5
alchemi,2.5,0.0
alchohol,0.0,2.5
alcohol,3.5702033690762023,3.0957424345700324
alcott,0.0,5.0
alda,12.62925313651334,1.285097208938469
aldar,2.5,0.0
alden,5.0,0.0
alderich,2.5,0.0
alderman,2.5,0.0
aldo,4.899079389427794,2.3475901497877913
aldofo,0.0,2.5
aldolpho,2.5,0.0
aldomovar,2.5,0.0
aldous,5.678873587267573,2.095903274289385
aldrich,5.678873587267573,2.095903274289385
aldridg,2.5,0.0
aldrin,3.321928094887363,3.321928094887363
ale,1.0479516371446924,19.549378059091087
alec,3.321928094887363,3.321928094887363
alecbaldwin,2.5,0.0
alecia,0.0,2.5
alecki,4.507575551943847,2.51294159473206
alegria,2.5,0.0
aleist,0.0,5.0
alejandra,0.0,2.5
alejandro,1.2620021300743383,13.091002150871478
aleko,0.0,10.0
aleksa,2.5,0.0
aleksandr,0.0,7.5
aleksandrov,0.0,5.0
aleksei,0.0,2.5
aleksey,0.0,2.5
aleopath,2.5,0.0
alert,3.5392393166248803,3.12173046672301
alesandr,0.0,2.5
alessandra,3.321928094887363,3.321928094887363
alessandro,0.0,2.5
alessio,2.5,0.0
alex,2.644131960536996,4.245771638754643
alexa,3.321928094887363,3.321928094887363
alexaki,0.0,2.5
alexanad,0.0,2.5
alexand,2.3249072152756316,4.959201553180262
alexandr,1.7057111797877027,7.672608653514963
alexandra,3.7429109957755533,2.9607452315402925
alexandria,0.0,2.5
alexcanr,0.0,2.5
alexei,3.321928094887363,3.321928094887363
alexej,0.0,2.5
alexi,1.7420653825330148,7.423983573584705
alexio,2.5,0.0
alexondra,1.6609640474436815,8.003922779651097
alf,1.4306765580733931,10.318851158516171
alfalfa,1.6609640474436815,8.003922779651097
alfi,12.62925313651334,1.285097208938469
alfio,0.0,5.0
alfonso,2.717562737549928,4.1145820804822515
alfr,1.766324348405031,7.267374242342035
alfredo,10.318851158516171,1.4306765580733931
alfri,0.0,2.5
alfven,0.0,2.5
alga,2.5,0.0
algebra,0.0,2.5
alger,0.0,2.5
algeria,2.5,0.0
algerian,10.318851158516171,1.4306765580733931
algernon,0.0,2.5
algi,5.0,0.0
algo,0.0,2.5
algren,0.0,2.5
ali,3.103476471903321,3.5609161165707097
alia,8.003922779651097,1.6609640474436815
alian,0.0,2.5
alibi,0.0,12.5
alic,2.41865942623741,4.721283483554871
alica,0.0,2.5
alicia,2.717562737549928,4.1145820804822515
alida,5.678873587267573,2.095903274289385
alien,4.339356391946547,2.5950375316654903
alienpr,2.5,0.0
alienwar,2.5,0.0
alight,4.1145820804822515,2.717562737549928
align,1.7135711483586733,7.617369497207078
alik,2.3825419732746944,4.809704714203529
alimoni,2.5,0.0
alin,3.321928094887363,3.321928094887363
alisa,0.0,2.5
alisan,0.0,12.5
alisand,2.5,0.0
alison,1.6609640474436815,8.003922779651097
alistair,2.51294159473206,4.507575551943847
alita,2.5,0.0
alittl,0.0,15.0
aliv,3.232528186907083,3.4145867650260247
