,negative,positive,total
advanc,128.0,151.0,279.0
advani,2.0,0.0,2.0
advantag,7.0,6.0,13.0
advent,7.0,7.0,14.0
adventist,1.0,3.0,4.0
adventiti,1.0,0.0,1.0
adventur,50.0,100.0,150.0
adventuresom,2.0,1.0,3.0
advers,9.0,16.0,25.0
adversari,6.0,14.0,20.0
advert,6.0,4.0,10.0
adverter,0.0,1.0,1.0
advertis,103.0,78.0,181.0
advic,6.0,10.0,16.0
advis,156.0,104.0,260.0
advisor,1.0,0.0,1.0
advisori,5.0,0.0,5.0
advoc,15.0,12.0,27.0
ae,0.0,8.0,8.0
aegean,0.0,1.0,1.0
aegert,1.0,0.0,1.0
aelita,1.0,0.0,1.0
aenea,0.0,1.0,1.0
aeon,4.0,1.0,5.0
aeri,0.0,1.0,1.0
aerial,24.0,48.0,72.0
aerith,1.0,0.0,1.0
aerki,1.0,0.0,1.0
aerob,3.0,0.0,3.0
aerobic,1.0,0.0,1.0
aerobicid,1.0,0.0,1.0
aeronaut,1.0,3.0,4.0
aeroplan,0.0,1.0,1.0
aerosmith,2.0,2.0,4.0
aerosol,2.0,0.0,2.0
aerun,0.0,1.0,1.0
aeryn,0.0,4.0,4.0
aeschylus,0.0,1.0,1.0
aesir,2.0,0.0,2.0
aesop,1.0,1.0,2.0
aestheic,0.0,1.0,1.0
aesthet,55.0,73.0,128.0
aetheist,1.0,0.0,1.0
aetheri,1.0,0.0,1.0
af,0.0,2.0,2.0
afaik,1.0,0.0,1.0
afar,3.0,2.0,5.0
afb,0.0,1.0,1.0
afer,1.0,0.0,1.0
afest,1.0,0.0,1.0
afew,1.0,3.0,4.0
aff,0.0,1.0,1.0
affabl,13.0,21.0,34.0
affair,10.0,9.0,19.0
affect,166.0,369.0,535.0
affection,17.0,33.0,50.0
affili,6.0,7.0,13.0
affin,0.0,1.0,1.0
affirm,23.0,32.0,55.0
affix,0.0,3.0,3.0
affleck,6.0,3.0,9.0
afflect,0.0,1.0,1.0
afflict,18.0,15.0,33.0
affluent,8.0,23.0,31.0
afford,134.0,115.0,249.0
affront,1.0,2.0,3.0
afgahnistan,1.0,0.0,1.0
afgan,0.0,1.0,1.0
afgani,1.0,0.0,1.0
afganistan,2.0,2.0,4.0
afganskiy,0.0,2.0,2.0
afghan,3.0,15.0,18.0
afghani,1.0,2.0,3.0
afghanistan,23.0,26.0,49.0
afi,4.0,9.0,13.0
afican,2.0,0.0,2.0
aficionado,1.0,6.0,7.0
afield,2.0,0.0,2.0
afilm,1.0,0.0,1.0
afirm,0.0,1.0,1.0
aflac,1.0,0.0,1.0
aflam,0.0,2.0,2.0
afloat,8.0,7.0,15.0
afoot,4.0,5.0,9.0
afor,1.0,0.0,1.0
aforement,139.0,81.0,220.0
aforment,1.0,2.0,3.0
afortun,0.0,1.0,1.0
afoul,3.0,1.0,4.0
afr,0.0,1.0,1.0
afraid,299.0,270.0,569.0
afreen,1.0,0.0,1.0
africa,44.0,59.0,103.0
african,225.0,270.0,495.0
afrika,2.0,0.0,2.0
afrikaan,1.0,1.0,2.0
afro,17.0,16.0,33.0
afroregga,3.0,7.0,10.0
aft,0.0,3.0,3.0
aftab,3.0,1.0,4.0
afteral,5.0,3.0,8.0
afterglow,0.0,1.0,1.0
afterlif,2.0,0.0,2.0
aftermath,2.0,0.0,2.0
afterno,1.0,0.0,1.0
afterschool,2.0,1.0,3.0
aftershock,1.0,0.0,1.0
afterthought,6.0,4.0,10.0
afterward,46.0,57.0,103.0
afterword,1.0,2.0,3.0
afther,0.0,1.0,1.0
aftra,0.0,3.0,3.0
afzel,2.0,0.0,2.0
ag,1.0,3.0,4.0
aga,3.0,1.0,4.0
agaaaain,0.0,1.0,1.0
agai,2.0,3.0,5.0
again,3446.0,4033.0,7479.0
agamemnon,0.0,2.0,2.0
agap,0.0,1.0,1.0
agar,1.0,0.0,1.0
agatha,6.0,12.0,18.0
age,319.0,407.0,726.0
ageless,5.0,4.0,9.0
agenda,5.0,2.0,7.0
agent,28.0,32.0,60.0
ager,1.0,0.0,1.0
agey,1.0,1.0,2.0
aggamemnon,0.0,1.0,1.0
aggi,0.0,2.0,2.0
aggrandiz,1.0,1.0,2.0
aggrapina,1.0,0.0,1.0
aggrav,33.0,19.0,52.0
aggre,1.0,0.0,1.0
aggreg,0.0,2.0,2.0
aggres,0.0,1.0,1.0
aggress,64.0,75.0,139.0
aggressor,0.0,1.0,1.0
aggriev,4.0,1.0,5.0
aggriv,1.0,0.0,1.0
agh,1.0,0.0,1.0
aghast,7.0,8.0,15.0
aghhhhhh,1.0,0.0,1.0
agi,0.0,3.0,3.0
agian,1.0,0.0,1.0
agil,4.0,5.0,9.0
agin,1.0,2.0,3.0
agit,11.0,8.0,19.0
agito,1.0,0.0,1.0
agless,0.0,1.0,1.0
agn,1.0,1.0,2.0
agnew,1.0,0.0,1.0
agnieszka,0.0,1.0,1.0
agniezska,0.0,1.0,1.0
agnost,8.0,4.0,12.0
ago,655.0,943.0,1598.0
agog,1.0,0.0,1.0
agon,62.0,19.0,81.0
agoni,3.0,2.0,5.0
agonis,7.0,8.0,15.0
agoraphob,0.0,2.0,2.0
agost,1.0,1.0,2.0
agostina,0.0,1.0,1.0
agr,0.0,1.0,1.0
agra,0.0,1.0,1.0
agrarian,1.0,1.0,2.0
agre,712.0,676.0,1388.0
agreat,0.0,1.0,1.0
agreeabl,8.0,20.0,28.0
agren,4.0,0.0,4.0
agricultur,6.0,3.0,9.0
agrippina,3.0,0.0,3.0
aground,3.0,0.0,3.0
agua,1.0,0.0,1.0
aguayo,0.0,1.0,1.0
aguilar,2.0,0.0,2.0
aguirr,1.0,2.0,3.0
aguirresarob,0.0,1.0,1.0
agust,0.0,2.0,2.0
agutt,0.0,1.0,1.0
ah,62.0,39.0,101.0
aha,8.0,0.0,8.0
ahab,7.0,2.0,9.0
aharon,1.0,0.0,1.0
ahead,336.0,397.0,733.0
ahearn,0.0,3.0,3.0
ahem,20.0,8.0,28.0
ahet,1.0,0.0,1.0
ahh,7.0,7.0,14.0
ahhh,1.0,1.0,2.0
ahhhhhh,1.0,1.0,2.0
ahhhhhhh,1.0,0.0,1.0
ahista,0.0,2.0,2.0
ahistor,1.0,0.0,1.0
ahlstedt,0.0,1.0,1.0
ahm,1.0,3.0,4.0
ahmad,0.0,23.0,23.0
ahmedabad,0.0,1.0,1.0
ahmet,0.0,1.0,1.0
ahna,2.0,1.0,3.0
ahold,1.0,0.0,1.0
ahould,0.0,1.0,1.0
ahoy,4.0,0.0,4.0
aht,1.0,0.0,1.0
ahuntin,1.0,0.0,1.0
ai,4.0,6.0,10.0
aicha,0.0,2.0,2.0
aicn,1.0,0.0,1.0
aid,51.0,118.0,169.0
aida,2.0,1.0,3.0
aidan,4.0,14.0,18.0
aiden,19.0,9.0,28.0
aiello,1.0,6.0,7.0
aielo,0.0,1.0,1.0
aihara,0.0,1.0,1.0
aik,0.0,1.0,1.0
aikawa,0.0,1.0,1.0
aiken,2.0,3.0,5.0
aikido,2.0,1.0,3.0
ail,15.0,27.0,42.0
aileen,2.0,9.0,11.0
aileron,1.0,0.0,1.0
ailleur,0.0,1.0,1.0
ailment,2.0,0.0,2.0
ailtan,1.0,0.0,1.0
ailton,0.0,1.0,1.0
aim,287.0,153.0,440.0
aimabl,1.0,0.0,1.0
aimanov,1.0,0.0,1.0
aime,6.0,7.0,13.0
aimless,76.0,16.0,92.0
ain,2.0,0.0,2.0
aina,0.0,2.0,2.0
ainsley,1.0,0.0,1.0
ainsworth,0.0,1.0,1.0
aint,4.0,1.0,5.0
aip,3.0,2.0,5.0
air,164.0,253.0,417.0
airbag,0.0,1.0,1.0
airbal,1.0,0.0,1.0
airborn,9.0,2.0,11.0
airbrush,4.0,0.0,4.0
airbus,1.0,0.0,1.0
aircraft,2.0,0.0,2.0
airfield,1.0,0.0,1.0
airforc,2.0,0.0,2.0
airhead,7.0,7.0,14.0
airheaded,0.0,1.0,1.0
airi,1.0,4.0,5.0
airial,1.0,0.0,1.0
airili,0.0,1.0,1.0
airless,1.0,0.0,1.0
airli,0.0,1.0,1.0
airlift,4.0,1.0,5.0
airmail,1.0,0.0,1.0
airman,1.0,3.0,4.0
airmen,1.0,0.0,1.0
airplan,8.0,3.0,11.0
airport,8.0,1.0,9.0
airship,0.0,1.0,1.0
airsick,1.0,0.0,1.0
airsoft,1.0,0.0,1.0
airspac,1.0,0.0,1.0
airtight,1.0,3.0,4.0
airtim,3.0,1.0,4.0
ais,1.0,0.0,1.0
aish,1.0,1.0,2.0
aisha,2.0,0.0,2.0
aishu,0.0,1.0,1.0
aishwari,0.0,1.0,1.0
aishwariya,0.0,1.0,1.0
aishwarya,6.0,10.0,16.0
aisl,3.0,7.0,10.0
aissa,0.0,1.0,1.0
aitd,1.0,0.0,1.0
aito,0.0,3.0,3.0
aj,0.0,4.0,4.0
aja,4.0,0.0,4.0
ajar,0.0,1.0,1.0
ajax,4.0,0.0,4.0
ajay,18.0,1.0,19.0
aji,1.0,0.0,1.0
ajikko,0.0,1.0,1.0
ajit,0.0,1.0,1.0
ajita,2.0,0.0,2.0
ajnab,0.0,1.0,1.0
ajnabi,0.0,1.0,1.0
ajooba,1.0,0.0,1.0
ak,8.0,1.0,9.0
aka,69.0,54.0,123.0
akan,0.0,2.0,2.0
akasha,1.0,14.0,15.0
akath,0.0,1.0,1.0
akayla,1.0,0.0,1.0
ake,1.0,3.0,4.0
akeem,0.0,6.0,6.0
akelli,1.0,0.0,1.0
akenaten,0.0,2.0,2.0
akerman,1.0,0.0,1.0
akhenaten,0.0,1.0,1.0
akhnaton,0.0,4.0,4.0
akhra,1.0,0.0,1.0
aki,3.0,1.0,4.0
akiko,0.0,2.0,2.0
akim,2.0,0.0,2.0
akin,45.0,63.0,108.0
akira,2.0,14.0,16.0
akiva,2.0,0.0,2.0
akiyama,0.0,1.0,1.0
akkaya,1.0,0.0,1.0
akki,1.0,1.0,2.0
akm,1.0,0.0,1.0
aknowledg,0.0,1.0,1.0
akosua,0.0,2.0,2.0
akrona,1.0,0.0,1.0
akroy,1.0,0.0,1.0
akroyd,4.0,0.0,4.0
akshay,47.0,41.0,88.0
aku,0.0,2.0,2.0
akuzi,0.0,1.0,1.0
akward,1.0,1.0,2.0
akyroyd,0.0,1.0,1.0
al,108.0,108.0,216.0
ala,101.0,61.0,162.0
alabama,6.0,4.0,10.0
alack,2.0,0.0,2.0
aladdin,2.0,1.0,3.0
alaimo,1.0,0.0,1.0
alain,6.0,19.0,25.0
alamien,1.0,0.0,1.0
alamo,2.0,12.0,14.0
alan,76.0,117.0,193.0
alana,0.0,1.0,1.0
alanni,1.0,0.0,1.0
alanrickmaniac,0.0,1.0,1.0
alanti,0.0,1.0,1.0
alar,3.0,0.0,3.0
alarik,1.0,0.0,1.0
alarm,33.0,37.0,70.0
alarmist,3.0,0.0,3.0
alaska,11.0,10.0,21.0
alaskan,4.0,5.0,9.0
alast,0.0,1.0,1.0
alastair,2.0,7.0,9.0
alb,0.0,1.0,1.0
alba,13.0,4.0,17.0
albani,2.0,0.0,2.0
albania,0.0,1.0,1.0
albanian,4.0,3.0,7.0
albano,1.0,0.0,1.0
albeit,16.0,39.0,55.0
albeniz,0.0,2.0,2.0
albert,87.0,188.0,275.0
alberta,2.0,2.0,4.0
albertan,1.0,0.0,1.0
alberto,2.0,4.0,6.0
albi,1.0,1.0,2.0
albiet,5.0,2.0,7.0
albin,1.0,0.0,1.0
albino,2.0,0.0,2.0
albinoni,0.0,1.0,1.0
albizo,1.0,0.0,1.0
albrght,0.0,1.0,1.0
albright,1.0,1.0,2.0
album,8.0,11.0,19.0
albuquerqu,1.0,2.0,3.0
alc,0.0,1.0,1.0
alcantara,0.0,1.0,1.0
alcatraz,8.0,1.0,9.0
alchem,0.0,3.0,3.0
alchemi,1.0,0.0,1.0
alchohol,0.0,1.0,1.0
alcohol,85.0,77.0,162.0
alcott,0.0,2.0,2.0
alda,10.0,2.0,12.0
aldar,1.0,0.0,1.0
alden,2.0,0.0,2.0
alderich,1.0,0.0,1.0
alderman,1.0,0.0,1.0
aldo,5.0,3.0,8.0
aldofo,0.0,1.0,1.0
aldolpho,1.0,0.0,1.0
aldomovar,1.0,0.0,1.0
aldous,2.0,1.0,3.0
aldrich,4.0,2.0,6.0
aldridg,1.0,0.0,1.0
aldrin,1.0,1.0,2.0
ale,1.0,8.0,9.0
alec,34.0,34.0,68.0
alecbaldwin,1.0,0.0,1.0
alecia,0.0,1.0,1.0
alecki,3.0,2.0,5.0
alegria,1.0,0.0,1.0
aleist,0.0,2.0,2.0
alejandra,0.0,1.0,1.0
alejandro,5.0,26.0,31.0
aleko,0.0,4.0,4.0
aleksa,1.0,0.0,1.0
aleksandr,0.0,3.0,3.0
aleksandrov,0.0,2.0,2.0
aleksei,0.0,1.0,1.0
aleksey,0.0,1.0,1.0
aleopath,1.0,0.0,1.0
alert,36.0,33.0,69.0
alesandr,0.0,1.0,1.0
alessandra,1.0,1.0,2.0
alessandro,0.0,1.0,1.0
alessio,1.0,0.0,1.0
alex,144.0,200.0,344.0
alexa,1.0,1.0,2.0
alexaki,0.0,1.0,1.0
alexanad,0.0,1.0,1.0
alexand,13.0,22.0,35.0
alexandr,7.0,20.0,27.0
alexandra,20.0,17.0,37.0
alexandria,0.0,1.0,1.0
alexcanr,0.0,1.0,1.0
alexei,1.0,1.0,2.0
alexej,0.0,1.0,1.0
alexi,4.0,11.0,15.0
alexio,1.0,0.0,1.0
alexondra,1.0,3.0,4.0
alf,1.0,4.0,5.0
alfalfa,1.0,3.0,4.0
alfi,5.0,1.0,6.0
alfio,0.0,2.0,2.0
alfonso,3.0,4.0,7.0
alfr,63.0,169.0,232.0
alfredo,4.0,1.0,5.0
alfri,0.0,1.0,1.0
alfven,0.0,1.0,1.0
alga,1.0,0.0,1.0
algebra,0.0,1.0,1.0
alger,0.0,1.0,1.0
algeria,1.0,0.0,1.0
algerian,4.0,1.0,5.0
algernon,0.0,1.0,1.0
algi,2.0,0.0,2.0
algo,0.0,1.0,1.0
algren,0.0,1.0,1.0
ali,40.0,44.0,84.0
alia,9.0,3.0,12.0
alian,0.0,1.0,1.0
alibi,0.0,5.0,5.0
alic,44.0,70.0,114.0
alica,0.0,1.0,1.0
alicia,15.0,20.0,35.0
alida,2.0,1.0,3.0
alien,370.0,259.0,629.0
alienpr,1.0,0.0,1.0
alienwar,1.0,0.0,1.0
alight,4.0,3.0,7.0
