,negative,neutral,positive
auralex,0.0,0.0,5.0
aussi,20.0,0.0,0.0
auster,0.0,0.0,2.5
austin,0.0,0.0,10.0
authen,0.0,0.0,2.5
authent,0.0,0.0,5.0
author,0.0,10.0,0.0
autom,20.0,0.0,0.0
automat,3.054750901711627,1.5913711273047662,1.8815421796317378
auvio,0.0,0.0,2.5
aux,0.0,10.318851158516171,1.4306765580733931
avaial,0.0,0.0,2.5
avail,1.3388788684708406,0.8169835779016372,8.438489100944624
averag,8.169507470532695,1.1726286859981785,1.0227839387232256
averi,0.0,0.0,2.5
avid,0.0,0.0,2.5
avoid,3.8185738775919673,0.891094146287677,2.3626928496633233
avoind,0.0,0.0,2.5
aw,0.0,4.507575551943847,2.51294159473206
awar,2.0351606821375086,2.426121873004559,1.8617841794768077
award,0.0,0.0,7.5
away,1.39868334438702,2.119002946832264,3.0486551457915434
awe,0.0,0.0,5.0
awesom,0.8754781267775914,0.8754781267775914,14.793036506949305
awg,0.0,0.0,2.5
awhil,0.0,5.678873587267573,2.095903274289385
awkward,0.0,3.321928094887363,3.321928094887363
awsom,0.0,0.0,10.0
ax,0.0,10.0,0.0
axe,0.0,0.0,5.0
axi,0.0,0.0,2.5
babe,0.0,0.0,2.5
back,2.8127757912225078,1.4676221861690908,2.197426950034799
backlit,0.0,10.0,0.0
backord,0.0,0.0,2.5
backup,4.1145820804822515,0.0,2.717562737549928
backward,0.0,0.0,7.5
bad,1.9862938042850946,1.9258751432723216,2.404148701189789
bag,4.742632390555292,0.0,2.4097933153777453
bail,0.0,0.0,2.5
balanc,0.0,1.0479516371446924,19.549378059091087
ball,2.2761793375349226,1.3506893502198491,2.9203673004336506
ballanc,0.0,0.0,2.5
ballpark,0.0,0.0,2.5
band,0.0,0.0,15.0
bang,0.0,0.0,12.5
banjo,0.0,5.678873587267573,2.095903274289385
bank,0.0,0.0,2.5
bar,3.321928094887363,0.0,3.321928094887363
barber,0.0,0.0,5.0
bare,3.611460111265842,1.560115808209267,1.6269444951278549
bargain,0.0,0.0,7.5
bark,0.0,0.0,2.5
barley,0.0,0.0,2.5
barr,0.0,10.0,0.0
base,2.9724574698919537,1.469536655087143,2.0793728050760083
basement,0.0,0.0,2.5
basic,1.9094996579796575,1.879805525232999,2.5598966543553945
bass,0.0,2.978033117136071,3.719611071037446
bassbeen,0.0,0.0,2.5
bassi,0.0,10.318851158516171,1.4306765580733931
bassier,0.0,0.0,2.5
bassist,0.0,0.0,2.5
batman,0.0,0.0,2.5
batter,0.0,0.0,12.5
batteri,0.0,1.7420653825330148,7.423983573584705
battl,0.0,0.0,2.5
bb,0.0,0.0,2.5
bbe,0.0,0.0,2.5
bcd,0.0,0.0,2.5
be,1.3768505460412777,1.7928625599220123,3.6851506761816153
bea,0.0,0.0,2.5
bean,0.0,10.0,0.0
bear,0.0,0.0,2.5
beast,0.0,0.0,2.5
beat,0.0,0.0,175.0
beaten,0.0,0.0,5.0
beati,0.0,0.0,2.5
beauti,0.0,0.8846944397064771,29.918840221005354
bebass,10.0,0.0,0.0
becam,1.0479516371446924,2.8394367936337863,2.8394367936337863
becaus,1.1726286859981785,2.6619559702796276,2.7938045383961523
becom,0.7623381410862845,2.142906945354647,4.654543330363308
becuas,0.0,0.0,2.5
bedazzl,0.0,0.0,2.5
beef,0.0,0.0,2.5
beefi,0.0,0.0,5.0
beefier,0.0,0.0,2.5
been,1.5708029288964647,1.2506461488628327,4.665758348534635
beet,0.0,0.0,2.5
befor,1.8380053935977752,1.1832946624549385,4.1145820804822515
befront,0.0,0.0,2.5
beg,0.0,0.0,5.0
began,0.0,0.0,17.5
begin,1.1726286859981785,2.1985518314558727,3.407423698026852
beginn,0.0,1.9535700439406751,6.261707715779571
begun,0.0,0.0,5.0
behav,0.0,0.0,2.5
behind,0.0,0.0,2.5
behring,1.3691531760701179,0.9695479867189053,7.036962827935077
beli,0.0,0.0,2.5
believ,5.123655295246613,0.8769835133829491,1.8580028746186728
beliv,0.0,0.0,2.5
belli,0.0,0.0,2.5
belong,2.2761793375349226,2.2761793375349226,1.7721967586109773
belov,5.678873587267573,2.095903274289385,0.0
below,10.0,0.0,0.0
belt,0.0,2.51294159473206,4.507575551943847
bend,1.8134010403046341,1.3417955476695465,3.7292731297066344
bendabl,0.0,4.1145820804822515,2.717562737549928
bendi,0.0,0.0,2.5
bendnic,0.0,0.0,2.5
benefit,0.0,0.0,7.5
bent,3.88252561666981,1.997593496840355,1.135313996927075
berhing,0.0,0.0,2.5
bering,0.0,0.0,2.5
bermuda,0.0,0.0,5.0
best,0.7505037043612045,1.4932491068720792,7.631179852206743
bestest,0.0,0.0,2.5
bestsel,0.0,0.0,2.5
bet,0.0,0.0,12.5
better,1.4705759292481346,1.9331949947885398,3.2019364689443974
bewar,0.0,0.0,5.0
beyerdynam,0.0,0.0,2.5
bic,0.0,0.0,2.5
big,2.841917866967536,1.154023516591837,2.6489154718064127
bigger,0.0,1.4306765580733931,10.318851158516171
biggest,0.0,4.1145820804822515,2.717562737549928
billi,0.0,0.0,2.5
bind,0.0,0.0,17.5
bird,0.0,0.0,2.5
birthday,0.0,0.0,2.5
bit,0.7916143125707753,1.9611159033708805,5.094382474196232
bite,0.0,3.321928094887363,3.321928094887363
bizarr,0.0,0.0,2.5
black,1.0227839387232256,1.5986160149961008,5.499231572045909
blame,1.5913711273047662,3.054750901711627,1.8815421796317378
blanket,10.0,0.0,0.0
blare,0.0,0.0,5.0
blast,0.0,2.2761793375349226,5.094382474196232
ble,0.0,0.0,2.5
bleed,0.0,10.318851158516171,1.4306765580733931
blemish,0.0,0.0,2.5
blend,0.0,3.321928094887363,3.321928094887363
blew,0.0,0.0,10.0
blind,0.0,0.0,12.5
blindfold,0.0,0.0,2.5
bling,0.0,0.0,2.5
blink,0.0,0.0,2.5
block,7.133751257654798,0.0,1.7879236136423848
bloodi,0.0,0.0,2.5
blow,1.285097208938469,2.095903274289385,3.321928094887363
blown,1.8380053935977752,0.0,6.8433137786230045
blue,0.0,1.8929578624225243,6.552643539533589
blueridg,0.0,0.0,5.0
bluesi,0.0,0.0,5.0
bluish,0.0,0.0,2.5
blunder,0.0,0.0,2.5
bni,0.0,0.0,2.5
boast,0.0,0.0,2.5
boat,0.0,0.0,5.0
bob,0.0,0.0,7.5
bodi,0.0,0.0,10.0
bogus,0.0,10.0,0.0
boil,0.0,0.0,5.0
bolt,0.0,10.318851158516171,1.4306765580733931
bond,0.0,0.0,2.5
bone,0.0,0.0,5.0
bonous,0.0,0.0,2.5
bonus,0.0,0.0,2.5
boo,0.0,0.0,2.5
boogi,0.0,0.0,5.0
boom,0.0,0.0,10.0
boomey,0.0,0.0,2.5
boomher,0.0,0.0,2.5
boomi,0.0,10.318851158516171,1.4306765580733931
boost,1.316364786255445,2.1803695489250283,3.12173046672301
boot,0.0,0.0,7.5
bordeaux,0.0,0.0,2.5
borderlin,20.0,0.0,0.0
bore,0.0,3.321928094887363,3.321928094887363
born,0.0,0.0,5.0
borrow,0.0,5.678873587267573,2.095903274289385
bose,0.0,0.0,2.5
boss,2.2761793375349226,0.0,5.094382474196232
boston,0.0,0.0,2.5
bot,0.0,0.0,2.5
bother,1.6248961310502152,1.0911623018071637,5.094382474196232
bothersom,0.0,0.0,5.0
bottl,0.0,0.0,7.5
bottom,2.9950978579327554,1.3664582565491168,2.199247041759887
bought,2.2123619211304297,1.4208227017496933,2.8759297159632675
bounc,0.0,0.0,2.5
boutiqu,7.230516925979993,0.0,1.7721967586109773
bow,19.549378059091087,0.0,1.0479516371446924
box,0.0,0.0,10.0
boxi,0.0,3.321928094887363,3.321928094887363
boy,0.0,0.0,5.0
br,0.0,0.0,2.5
brace,5.678873587267573,0.0,2.095903274289385
bradi,0.0,0.0,2.5
brag,0.0,0.0,2.5
braid,0.0,0.0,2.5
brainier,0.0,0.0,2.5
branch,0.0,10.0,0.0
brand,0.0,0.0,12.5
brass,0.0,0.0,2.5
brassi,0.0,0.0,2.5
break,0.8846944397064771,2.437986966796919,3.7037618400893266
breakabl,0.0,0.0,2.5
breakag,0.0,10.0,0.0
breath,0.0,5.678873587267573,2.095903274289385
breather,0.0,0.0,2.5
breathless,0.0,0.0,2.5
breez,0.0,0.0,15.0
brew,0.0,0.0,2.5
brick,0.0,0.0,2.5
bridg,0.0,0.0,5.0
brief,0.0,0.0,7.5
bright,0.8024850550440368,1.8276219129345457,5.532926987643234
brighten,0.0,2.095903274289385,5.678873587267573
brighter,1.3506893502198491,1.3506893502198491,5.094382474196232
brightest,0.0,0.0,7.5
brigthen,0.0,0.0,2.5
brilliant,0.0,0.0,12.5
bring,0.0,1.0227839387232256,20.701928028661634
british,0.0,0.0,10.0
brittish,0.0,0.0,2.5
brittl,0.0,4.1145820804822515,2.717562737549928
broad,0.0,5.678873587267573,2.095903274289385
broadcast,7.230516925979993,0.0,1.7721967586109773
broader,0.0,0.0,2.5
broke,10.318851158516171,0.6900870569165818,1.2755414515210783
broken,2.1985518314558727,1.4777736715355747,2.7938045383961523
bronz,0.0,2.51294159473206,4.507575551943847
brought,1.7420653825330148,0.0,7.423983573584705
brown,0.0,0.0,10.0
brush,0.0,0.0,12.5
brutal,0.0,0.0,7.5
bt,0.0,0.0,5.0
btr,0.0,0.0,2.5
btw,0.0,0.0,2.5
bubbl,0.0,0.0,5.0
buck,0.0,2.51294159473206,4.507575551943847
buckl,0.0,0.0,2.5
bud,0.0,0.0,2.5
buddi,0.0,0.0,2.5
budg,0.0,10.0,0.0
buf,0.0,0.0,7.5
buff,0.0,0.0,12.5
buffer,0.0,0.0,2.5
buggi,0.0,0.0,2.5
build,1.7276225140432573,1.1365442613071721,4.572919022625638
built,0.940687980618688,1.4067284967811742,6.977388989153774
bulk,0.0,0.0,2.5
bulki,5.094382474196232,1.0911623018071637,1.6248961310502152
bulkier,0.0,0.0,2.5
bulletproof,0.0,0.0,5.0
bum,0.0,5.678873587267573,2.095903274289385
bumbl,0.0,0.0,2.5
bummer,0.0,0.0,2.5
bump,0.0,1.388581658628238,10.896762903258734
bunch,0.0,10.318851158516171,1.4306765580733931
bundl,0.0,0.0,2.5
burgandi,0.0,0.0,2.5
burgundi,0.0,0.0,2.5
burgundyi,0.0,0.0,2.5
buri,0.0,0.0,5.0
burn,0.0,0.0,2.5
burnt,0.0,0.0,2.5
burst,0.0,0.0,2.5
busi,0.0,0.0,2.5
busk,0.0,0.0,2.5
buss,0.0,0.0,2.5
bust,0.0,0.0,2.5
butat,0.0,0.0,2.5
butt,0.0,0.0,10.0
butter,0.0,10.0,0.0
butteri,0.0,0.0,5.0
button,0.0,37.981021967708735,0.812711509291959
buy,2.008530323446713,1.3524503792282956,3.321928094887363
buyal,10.0,0.0,0.0
buzz,3.0966287156560632,1.7205489479374423,1.7205489479374423
buzzi,0.0,0.0,2.5
bvybnhgdefinit,0.0,0.0,2.5
bwoosh,0.0,0.0,5.0
by,0.0,0.0,2.5
bypass,5.678873587267573,0.0,2.095903274289385
cabl,0.0,1.4306765580733931,10.318851158516171
cage,0.0,0.0,2.5
cagi,0.0,0.0,2.5
caig,0.0,0.0,2.5
cake,0.0,0.0,2.5
calcul,0.0,0.0,2.5
calibr,10.0,0.0,0.0
california,0.0,0.0,7.5
call,2.0735664277777435,1.8208048232535439,2.43365263131203
came,2.1635262781134177,0.8652648513180411,4.296812018595172
camp,0.0,0.0,10.0
canada,0.0,0.0,2.5
canadian,0.0,0.0,5.0
cancel,0.0,0.0,12.5
candi,0.0,10.0,0.0
candl,0.0,0.0,2.5
canning,0.0,0.0,2.5
cannnot,0.0,0.0,2.5
cannon,0.0,0.0,2.5
cant,0.0,1.6998947737393464,7.714034102218407
canvassi,0.0,0.0,2.5
cap,3.321928094887363,3.321928094887363,0.0
capabl,0.0,3.054750901711627,3.6204807592266683
capacit,0.0,0.0,2.5
capo,3.877876687624134,0.8169835779016372,2.432489567950451
captur,0.0,0.0,20.0
car,0.0,0.0,2.5
card,0.0,0.0,5.0
cardboard,0.0,0.0,7.5
cardioid,0.0,0.0,7.5
cardiord,0.0,0.0,2.5
care,1.3374293396856616,2.2387739406653795,2.9960308110099594
carefulus,0.0,0.0,2.5
careless,0.0,4.1145820804822515,2.717562737549928
carpal,0.0,10.318851158516171,1.4306765580733931
carpet,0.0,3.321928094887363,3.321928094887363
carpetmi,0.0,0.0,2.5
carri,1.4777736715355747,1.4777736715355747,4.212993519393615
carv,0.0,0.0,5.0
carvin,0.0,0.0,2.5
case,0.0,0.0,10.0
casewhat,0.0,0.0,2.5
casio,0.0,0.0,7.5
cast,0.0,10.318851158516171,1.4306765580733931
casual,0.0,1.8380053935977752,6.8433137786230045
cat,0.0,0.0,5.0
catch,0.0,2.51294159473206,4.507575551943847
cater,0.0,0.0,2.5
cathedr,0.0,0.0,2.5
caught,0.0,0.0,15.0
caus,2.1803695489250283,1.6298860893986942,2.5733403120039675
caution,0.0,0.0,2.5
cautious,0.0,0.0,2.5
cave,0.0,0.0,2.5
ce,0.0,0.0,5.0
ceas,0.0,0.0,2.5
celestian,0.0,0.0,2.5
celluloid,0.0,10.0,0.0
cellulos,0.0,0.0,2.5
celtic,0.0,0.0,2.5
center,0.0,0.0,10.0
central,0.0,0.0,5.0
ceram,0.0,0.0,7.5
certain,1.3388788684708406,1.9045993534220873,3.546014307773936
cg,0.0,10.0,0.0
ch,0.0,0.0,2.5
chain,0.0,5.678873587267573,2.095903274289385
chair,0.0,0.0,2.5
chalk,0.0,0.0,2.5
challeng,0.0,0.0,10.0
champ,0.0,0.0,2.5
chan,0.0,0.0,2.5
chang,1.6553448422622248,1.6778922028300693,3.299527059074942
changeabl,10.0,0.0,0.0
channel,0.0,0.0,5.0
characterist,0.0,2.8394367936337863,3.9173823267621817
charg,0.0,0.0,20.0
chart,0.0,0.0,5.0
chase,0.0,0.0,5.0
chat,0.0,10.0,0.0
cheap,1.8057081321306865,1.7193106714382127,2.9534209997124865
cheapen,0.0,0.0,2.5
cheaper,1.8380053935977752,1.6800494737271847,2.967864982876401
cheaperpyl,0.0,0.0,2.5
cheapest,0.0,0.0,7.5
cheaphandi,0.0,0.0,2.5
cheapi,0.0,0.0,2.5
cheapli,7.230516925979993,0.0,1.7721967586109773
cheapo,0.0,0.0,2.5
cheat,10.318851158516171,0.0,1.4306765580733931
check,1.486177357681829,1.3297015676310429,4.667894418674167
cheeep,0.0,10.0,0.0
cheep,0.0,0.0,5.0
cheeper,0.0,0.0,2.5
cheesey,10.0,0.0,0.0
cheesi,0.0,0.0,5.0
chemic,0.0,0.0,2.5
cherish,0.0,0.0,5.0
cherri,0.0,0.0,5.0
chest,0.0,0.0,5.0
chew,5.678873587267573,0.0,2.095903274289385
chezch,0.0,0.0,2.5
chicken,0.0,0.0,2.5
chief,0.0,0.0,2.5
chill,0.0,0.0,2.5
china,10.318851158516171,0.0,1.4306765580733931
chines,1.9535700439406751,3.447864361092018,1.340542651938433
ching,0.0,0.0,2.5
chip,0.0,0.0,5.0
choke,0.0,0.0,2.5
choos,1.1623338645535959,1.1623338645535959,7.133751257654798
choral,0.0,0.0,2.5
chord,0.0,0.0,5.0
chormat,0.0,0.0,2.5
chortl,0.0,0.0,2.5
chorus,0.0,4.1145820804822515,2.717562737549928
chose,0.0,1.316364786255445,12.051933943343613
chosen,0.0,0.0,10.0
christian,0.0,0.0,5.0
chromat,0.0,0.0,17.5
chrome,0.0,0.0,17.5
chuck,0.0,0.0,2.5
chuckl,0.0,0.0,2.5
chunki,0.0,0.0,5.0
circuit,0.0,10.0,0.0
circular,0.0,0.0,2.5
cite,0.0,0.0,2.5
citrus,0.0,0.0,2.5
claim,0.0,4.507575551943847,2.51294159473206
clamp,1.0911623018071637,2.2761793375349226,3.471438514848139
clampsrubber,0.0,0.0,2.5
clangi,20.0,0.0,0.0
clash,0.0,0.0,5.0
clasp,0.0,10.0,0.0
classi,0.0,0.0,2.5
classic,1.4127013085758968,1.7599383416902357,3.6679126992199076
classiest,0.0,0.0,2.5
clean,0.9602525677891276,1.5124441405783884,6.227460761428493
cleaner,0.0,2.095903274289385,5.678873587267573
cleanest,0.0,10.318851158516171,1.4306765580733931
cleanish,0.0,0.0,2.5
clear,1.3150584336989568,1.1664086036194816,6.14525046121494
clearaudio,0.0,0.0,2.5
clearer,0.0,0.0,15.0
clearest,0.0,0.0,2.5
clever,0.0,0.0,2.5
click,0.0,3.5392393166248803,3.12173046672301
clicki,0.0,5.678873587267573,2.095903274289385
cling,0.0,10.0,0.0
clip,1.3691531760701179,1.8041188445325964,3.6799798337541683
clipper,49.496653463438726,0.0,0.744921859773347
close,3.2876815785332183,1.249075497657426,2.1655635583951764
closer,1.4306765580733931,0.0,10.318851158516171
closest,3.321928094887363,0.0,3.321928094887363
closet,0.0,0.0,5.0
cloth,0.0,0.0,12.5
clumsi,1.9535700439406751,1.9535700439406751,2.4097933153777453
clutter,0.0,0.0,15.0
co,0.0,0.0,2.5
coat,0.0,1.1761417117999826,15.129493579013358
coax,0.0,0.0,7.5
cocern,0.0,0.0,2.5
cockey,0.0,10.0,0.0
code,0.0,0.0,27.5
coffe,0.0,0.0,2.5
